district,lat,lon,time,API
Alor Gajah,2.383453,102.21078,2022-05-07 11:00,30.0
Alor Setar,6.123191,100.368396,2022-05-07 11:00,36.0
Balik Pulau,5.350695,100.234898,2022-05-07 11:00,51.0
Balok Baru Kuantan,3.94052,103.361243,2022-05-07 11:00,50.0
Bandaraya Melaka,2.194265,102.248665,2022-05-07 11:00,37.0
Banting,2.802757,101.495677,2022-05-07 11:00,43.0
Batu Muda,5.742947,100.507992,2022-05-07 11:00,43.0
Batu Pahat,1.933333,103.0,2022-05-07 11:00,36.0
Besut,5.583333,102.5,2022-05-07 11:00,53.0
Bintulu,3.187426,113.04728,2022-05-07 11:00,29.0
Bukit Rambai,2.644451,102.185332,2022-05-07 11:00,51.0
Cheras,3.099192,101.737423,2022-05-07 11:00,37.0
Indera Mahkota Kuantan,3.824487,103.283733,2022-05-07 11:00,35.0
Jerantut,4.283414,102.557523,2022-05-07 11:00,54.0
Kangar,6.438931,100.194484,2022-05-07 11:00,48.0
Kapit,2.013903,112.935677,2022-05-07 11:00,26.0
Kemaman,4.239584,103.191261,2022-05-07 11:00,36.0
Keningau,5.217948,116.246315,2022-05-07 11:00,28.0
Kimanis,5.615059,115.888441,2022-05-07 11:00,56.0
Klang,3.044839,101.444736,2022-05-07 11:00,52.0
Kluang,2.032347,103.319077,2022-05-07 11:00,31.0
Kota Bharu,6.124791,102.237807,2022-05-07 11:00,61.0
Kota Kinabalu,5.978007,116.072899,2022-05-07 11:00,25.0
Kota Tinggi,1.733674,103.900698,2022-05-07 11:00,18.0
Kuala Selangor,3.362102,101.34555,2022-05-07 11:00,54.0
Kuala Terengganu,5.329646,103.138327,2022-05-07 11:00,60.0
Kuching,1.559756,110.345397,2022-05-07 11:00,27.0
Kulim,5.370713,100.617207,2022-05-07 11:00,42.0
Labuan,5.316834,115.219861,2022-05-07 11:00,62.0
Langkawi,6.370039,99.792863,2022-05-07 11:00,39.0
Larkin,1.496638,103.741409,2022-05-07 11:00,45.0
Limbang,4.351998,115.060242,2022-05-07 11:00,21.0
Minden,5.360188,100.295326,2022-05-07 11:00,51.0
Miri,4.39401,113.98802,2022-05-07 11:00,51.0
Mukah,2.811853,112.291206,2022-05-07 11:00,30.0
Nilai,2.802923,101.800105,2022-05-07 11:00,55.0
Paka,4.636872,103.435976,2022-05-07 11:00,29.0
Pasir Gudang,1.495344,103.920705,2022-05-07 11:00,37.0
Pegoh Ipoh,4.55617,101.090607,2022-05-07 11:00,56.0
Pengerang,1.394423,104.21549,2022-05-07 11:00,46.0
Petaling Jaya,3.098879,101.64542,2022-05-07 11:00,44.0
Port Dickson,2.526249,101.810616,2022-05-07 11:00,42.0
Putrajaya,2.938438,101.69223,2022-05-07 11:00,47.0
Rompin,2.824577,103.099356,2022-05-07 11:00,43.0
Samalaju,3.56751,113.384327,2022-05-07 11:00,35.0
Samarahan,1.432969,110.466501,2022-05-07 11:00,26.0
Sandakan,5.839127,118.11586,2022-05-07 11:00,16.0
Sarikei,2.129485,111.523059,2022-05-07 11:00,25.0
Seberang Jaya,5.394953,100.402463,2022-05-07 11:00,51.0
Seberang Perai,5.353882,100.457237,2022-05-07 11:00,42.0
Segamat,2.492285,102.845037,2022-05-07 11:00,38.0
Seremban,2.723099,101.94006,2022-05-07 11:00,60.0
Seri Manjung,4.191277,100.659225,2022-05-07 11:00,38.0
Shah Alam,3.073943,101.518528,2022-05-07 11:00,53.0
Sibu,2.29966,111.871001,2022-05-07 11:00,29.0
Sri Aman,1.209712,111.286609,2022-05-07 11:00,63.0
Sungai Petani,5.64352,100.486951,2022-05-07 11:00,56.0
Taiping,4.854677,100.743883,2022-05-07 11:00,40.0
Tanah Merah,5.766305,102.034148,2022-05-07 11:00,51.0
Tangkak,2.25,102.583333,2022-05-07 11:00,31.0
Tanjung Malim,3.684771,101.518276,2022-05-07 11:00,35.0
Tasek Ipoh,4.640923,101.115579,2022-05-07 11:00,58.0
Tawau,4.243521,117.885331,2022-05-07 11:00,38.0
Temerloh,3.612447,102.256682,2022-05-07 11:00,52.0
