Rank,City,Country,2023,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
461,Klang,Malaysia,33.5,34.5,23.9,29.1,36.4,28,31.8,26.6,32.1,33.5,62.7,27.5,34.5
514,Banting,Malaysia,31.9,23.1,23.3,19.9,37.7,30.8,34.1,30.4,35.5,38.8,58.5,25.7,24.1
579,Nilai,Malaysia,30.0,23.6,15.8,24.6,40.8,29,31.2,28,38.7,44.4,46.6,20.4,15.4
611,Shah Alam,Malaysia,29.1,22.1,20.8,22.1,29.7,24.9,29.3,25.8,39.6,53.1,48.3,17.3,15.6
664,Petaling Jaya,Malaysia,28.0,21.6,20.4,21.9,35.3,28.6,31.9,22.5,27.6,38.3,46.7,20,20.2
683,Putrajaya,Malaysia,27.5,16.9,13.2,17.9,34,24.9,32.6,28.7,38.8,42.5,43.3,18.4,18
717,Johor Bahru,Malaysia,26.6,19.6,14.7,17.7,35.3,24.6,26.6,26.4,32,37.7,52.8,18.5,13.4
724,Seremban,Malaysia,26.4,31.9,13.2,22.8,48.8,29.2,22,21.3,21.8,36.6,44.2,13,10.2
776,Perai,Malaysia,24.9,23.6,22.7,30.1,39.3,25.9,27.8,26.6,21.7,29.6,21.3,14.7,16
834,Pasir Gudang,Malaysia,23.6,11,7.9,12.6,32.5,21.9,24.4,23.2,27,42.6,44.7,20.9,12.7
840,Melaka,Malaysia,23.4,16.5,13.5,15.5,30,19.6,23.7,23.4,26.8,29.6,51.1,17.7,12.3
858,Kuala Lumpur,Malaysia,22.9,18.1,16.9,19.7,27.1,18,23.4,18.9,23.9,35.3,43,16.3,13.5
859,Kuala Selangor,Malaysia,22.9,16.6,19.4,23.8,29.9,26.2,31.6,26.6,22.1,33.2,26.3,10.8,8.8
898,Segamat District,Malaysia,22.2,9.8,7.8,15.4,43.6,31.6,19.5,21.6,23.9,31.8,40.9,11.3,7.2
923,Kuala Terengganu,Malaysia,21.8,15.1,18.3,23.6,38.5,21.9,29.3,28.7,24.3,22.9,21.8,8.6,7
931,Port Dickson,Malaysia,21.7,19.6,24.3,19.2,27.9,15,18.2,17.7,18.4,28.1,42.2,16.9,13.7
951,Simpang Ampat,Malaysia,21.3,23.2,16.5,27,28.8,20,23.8,22,17.1,25.7,24.5,13.9,13.5
962,Kota Bharu,Malaysia,21.0,19.5,23.6,25.4,40,21.1,24.3,21.4,14.5,18.3,23.1,11.3,9.7
980,Tanjong Dua Belas,Malaysia,20.8,19,18.5,20.8,24.9,18.5,22.1,19.7,24,27.9,27.9,12.5,11.9
993,Tanah Merah,Malaysia,20.6,16.8,22.2,24.5,39.9,21,21.4,34.9,12.1,15.3,17.6,12.7,9.5
1000,Tangkak,Malaysia,20.4,13.2,9.9,13.8,29,20.8,23.7,15.2,19.6,28.7,47.2,13.1,10.3
1006,Seri Manjung,Malaysia,20.3,13.7,13.7,23.1,26.3,17.5,21.6,22.3,19,24.4,29.2,19.6,12.9
1069,Ipoh,Malaysia,19.3,16.3,14.3,21,25.1,18.1,21.1,22.4,19.4,23.8,24.6,13.3,12.1
1088,Bintulu,Malaysia,19.0,15,17.9,16.6,28.1,23.1,18.7,19,23.3,25.9,19.5,11,10
1102,Alor Gajah,Malaysia,18.7,11.9,8.5,10.4,26.2,17.6,22.4,20.7,24.2,26,40.6,12.5,8.6
1119,Kulim,Malaysia,18.5,16.1,19.2,21.5,24.7,18.3,24.7,22.9,15.4,19.5,19.1,10.5,10.5
1129,Parit Sulong,Malaysia,18.3,14.1,7.3,9.7,22.9,13.3,16.7,14.8,16,23.9,60.3,10.4,7.3
1142,Gelugor,Malaysia,18.2,15.2,16.9,24,33.8,14.8,17.5,20.3,14.6,21.6,17.8,10.4,11.1
1150,Taiping,Malaysia,18.0,13.6,13.4,18.2,22,17.9,25.3,18.3,17.8,24.3,21,12.2,11.6
1166,Kuching,Malaysia,17.8,9.3,7.9,8.9,19,14.1,14.7,18,33,51.8,21.2,8.6,7.4
1208,Kuantan,Malaysia,17.1,9.6,10.2,12.1,21.2,18,25.1,15.1,18.4,28.5,30.8,7.8,6.1
1215,Chukai,Malaysia,16.9,10.5,9.9,14,27.5,17.4,16.9,17.3,18.2,25.6,27.8,8.4,9
1223,Kluang,Malaysia,16.7,10.7,7.8,11.8,23.6,14.3,19.9,17.9,17.4,25,31.5,11.4,7.8
1224,Temerloh,Malaysia,16.7,12.3,10.4,12.2,24.5,16.3,17,18.1,17.6,23.3,30.3,10.9,6.7
1243,Balok,Malaysia,16.3,15.7,12.7,13.8,21.9,12.9,14.7,14.8,17.1,22.8,26.1,11,11
1244,Kerteh,Malaysia,16.3,9.4,9.3,13.2,24.4,22.1,26.9,16.6,16.7,20.8,25.4,6.5,6.2
1249,Jerantut,Malaysia,16.2,7.5,10.1,11.6,24.1,17.1,18.5,20.4,16.8,24.9,28.1,7.5,6.9
1268,Sungai Petani,Malaysia,15.8,13,13.6,19.1,24.8,14,17.7,16.7,13.8,21.3,17,9.3,9.1
1290,Bandar Penawar,Malaysia,15.4,8.9,8.2,10.6,20.5,13.7,12.4,13.7,18.5,21,32.4,12.6,6.2
1291,Balik Pulau,Malaysia,15.4,16.3,15.2,20.3,22.5,10.7,16.2,15.8,11.7,20.4,15.9,9.8,10.3
1292,Kota Samarahan,Malaysia,15.4,8.4,6.9,8.9,15.1,11.2,13.3,22.6,26.1,32.2,22.4,9.6,7.6
