Country,Mean Overall AQI
Bahrain,188.0
Mauritania,179.0
Pakistan,178.78827361563518
United Arab Emirates,163.66666666666666
Aruba,163.0
Kuwait,162.0
Qatar,157.5
India,152.96422829581994
Senegal,152.42424242424244
Saudi Arabia,149.28571428571428
Gambia,147.0
Yemen,144.57142857142858
Guinea-Bissau,138.75
Oman,137.5
China,126.95345911949686
Kingdom of Eswatini,119.33333333333333
Uzbekistan,119.08620689655173
Nepal,116.36363636363636
Tajikistan,115.20689655172414
Democratic Republic of the Congo,114.81428571428572
Iraq,114.07142857142857
Bangladesh,113.4625
South Africa,113.04022988505747
Iran,108.29608938547486
Dominican Republic,108.07894736842105
Libya,105.4
Turkmenistan,104.72222222222223
Haiti,101.72222222222223
Egypt,101.65
Nigeria,99.61111111111111
Eritrea,99.2
El Salvador,97.36363636363636
Jordan,96.83333333333333
Afghanistan,95.95918367346938
Trinidad and Tobago,94.5
Rwanda,93.53846153846153
Indonesia,93.03693931398416
Singapore,91.0
Jamaica,90.66666666666667
Saint Kitts and Nevis,90.0
Lesotho,89.6
Mexico,89.5374149659864
Algeria,88.16666666666667
Chile,87.85185185185185
Republic of the Congo,87.58333333333333
Israel,87.40425531914893
Vietnam,87.05
Syria,86.93333333333334
State of Palestine,86.0
Uganda,85.31746031746032
Angola,83.92592592592592
Mali,83.16
Malaysia,81.616
Kyrgyzstan,81.53846153846153
Guatemala,80.9504132231405
Saint Lucia,79.0
Sudan,78.85714285714286
Ethiopia,78.73170731707317
Gabon,78.1
Venezuela,77.72222222222223
Namibia,76.88235294117646
Niger,75.6896551724138
Chad,75.33333333333333
Kenya,74.16666666666667
Barbados,73.0
Somalia,72.05555555555556
Lebanon,72.0
Tunisia,70.9090909090909
Slovenia,70.875
Cameroon,69.015625
Panama,68.44444444444444
Greece,68.28846153846153
Albania,68.25
Republic of Serbia,67.98876404494382
Slovakia,67.53225806451613
Benin,67.11111111111111
Republic of North Macedonia,66.78260869565217
Colombia,66.068
Togo,65.15789473684211
Montenegro,64.75
Central African Republic,64.16666666666667
Hungary,63.605633802816904
Sri Lanka,63.52173913043478
Honduras,63.42857142857143
Cuba,63.07142857142857
Ghana,62.793103448275865
Burundi,62.69230769230769
Guinea,62.476190476190474
Italy,62.00408580183861
Kazakhstan,61.2112676056338
Philippines,61.195845697329375
Czechia,60.90551181102362
Bosnia and Herzegovina,60.55555555555556
South Sudan,60.333333333333336
United States of America,59.74059888579387
Costa Rica,58.81578947368421
Azerbaijan,58.76315789473684
Croatia,57.935483870967744
Monaco,56.0
Switzerland,55.21551724137931
Bulgaria,54.261538461538464
nan,54.011709601873534
Romania,53.93364928909953
Austria,53.720588235294116
Armenia,53.63636363636363
Thailand,53.58130081300813
Mongolia,53.4
France,53.33790523690773
Ivory Coast,53.28358208955224
Moldova,52.964285714285715
Poland,52.46015424164524
Japan,51.72364672364672
Turkey,51.66804979253112
Burkina Faso,51.588235294117645
Malta,51.36363636363637
Ukraine,51.054794520547944
Cyprus,50.833333333333336
Germany,48.24684014869889
Nicaragua,47.972972972972975
Malawi,47.333333333333336
Belize,46.333333333333336
Guyana,45.5
Morocco,45.36842105263158
Ecuador,45.333333333333336
Equatorial Guinea,45.25
Cambodia,45.25
Belgium,44.58098591549296
Brazil,44.57490396927017
Luxembourg,44.5
Sierra Leone,44.2
South Korea ,44.0
Zimbabwe,43.74074074074074
Botswana,43.578947368421055
Laos,43.5
Suriname,43.333333333333336
Canada,43.262411347517734
Paraguay,42.76923076923077
Russia,42.50684931506849
Mauritius,41.0
Zambia,40.666666666666664
Georgia,40.6
Ireland,40.225806451612904
Myanmar,40.16949152542373
Latvia,39.90909090909091
United Kingdom,39.515
Estonia,38.833333333333336
Spain,38.45647058823529
Belarus,38.45454545454545
Finland,38.370370370370374
Netherlands,38.13758389261745
Lithuania,38.13157894736842
Denmark,38.016666666666666
Cabo Verde,38.0
Liberia,38.0
Mozambique,36.82608695652174
Peru,36.4296875
Sweden,36.16494845360825
Norway,35.476190476190474
Portugal,34.6078431372549
Australia,33.6
Comoros,33.0
United Republic of Tanzania,31.633187772925766
Madagascar,30.953846153846154
New Zealand,30.727272727272727
Vanuatu,30.0
Andorra,29.333333333333332
Argentina,28.235294117647058
Uruguay,26.653846153846153
Seychelles,26.0
Bhutan,26.0
Papua New Guinea,24.866666666666667
Bolivia,23.78787878787879
Iceland,23.0
Maldives,19.0
Solomon Islands,18.0
Palau,16.0
