Country,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
Albania,,,,16.0,12.5,14.5,16.7
Algeria,,,21.2,20.2,20.0,17.8,13.8
Andorra,,,,7.4,10.05,10.1,6.95
Angola,,,15.9,13.0,11.0,8.8,7.8
Anguilla,,,,,,,7.4
Argentina,,,12.4,14.2,10.14,9.8,8.040000000000001
Armenia,,,25.5,24.9,33.9,31.4,26.4
Australia,6.361224489795919,6.564705882352942,8.00625,6.932467532467532,5.692523364485981,4.36090909090909,4.858888888888889
Austria,11.994736842105263,13.555,11.254166666666668,10.316666666666666,10.772093023255811,10.553333333333333,9.420967741935485
Azerbaijan,,,,,17.6,18.9,18.8
Bahamas,,,3.3,,5.5,4.5,5.2
Bahrain,62.5,59.8,46.8,39.7,49.8,66.6,39.2
Bangladesh,79.7,97.1,83.3,66.4,76.44999999999999,59.7,66.1
Belgium,11.85135135135135,12.554054054054054,11.3125,9.371428571428572,11.374468085106384,10.391666666666667,9.059259259259258
Belize,,,,,5.4,5.6,8.3
Bermuda,,,,,,,4.1
Bolivia,,,,,5.5,10.7,12.4
Bosnia Herzegovina,,40.75,34.73333333333333,31.825,33.7235294117647,33.36,24.843478260869563
Brazil,13.52,16.05,14.753846153846156,14.113333333333332,13.589655172413794,13.105882352941178,12.089473684210526
Bulgaria,23.1,26.5,22.066666666666663,21.566666666666663,16.880000000000003,18.56,14.24
Burkina Faso,,,,,,63.0,46.6
Cambodia,20.8,20.1,21.1,21.1,19.8,8.3,21.200000000000003
Cameroon,,,,,,40.3,24.0
Canada,6.632075471698113,7.318518518518518,6.893650793650794,6.789312977099237,8.42442396313364,6.917842323651453,9.858415841584158
Chile,19.78,19.274193548387096,18.8625,15.88780487804878,19.003846153846155,18.78965517241379,17.323809523809526
China,43.43125,38.65887573964497,36.19717514124294,32.702832861189805,30.317735042735045,29.262899786780384,30.77
Colombia,15.7,13.9,13.833333333333334,15.133333333333336,12.9,15.88,15.05714285714286
Costa Rica,,,10.4,8.2,7.8,7.9,6.1
Croatia,,,,,17.3,16.442857142857143,12.238461538461538
Cyprus,17.9,17.9,17.866666666666664,14.7,14.95,15.85,14.65
Czech Republic,20.45945945945946,21.905405405405407,15.864285714285714,13.284444444444444,14.753846153846156,13.72982456140351,11.903030303030304
Democratic Republic of the Congo,,,32.1,,44.6,15.5,40.8
Denmark,,,9.6,9.4,9.5,8.55,7.32
Ecuador,,,8.6,7.6,8.4,12.8,7.4
Egypt,,,,,,47.4,42.4
El Salvador,,,,,11.2,14.2,19.5
Estonia,4.08,6.859999999999999,5.883333333333333,5.566666666666666,5.433333333333334,4.866666666666666,4.699999999999999
Ethiopia,26.9,27.1,20.1,14.7,23.9,31.3,27.0
Finland,4.79,5.966666666666666,5.128571428571428,4.8875,5.568,5.551851851851852,4.325714285714286
France,11.351764705882353,10.929213483146068,9.771153846153847,9.011904761904765,9.60843373493976,10.04367816091954,8.631050228310503
French Polynesia,,,,,4.3,2.5,3.2
Gabon,,,,,,25.0,16.9
Gambia,,,,,,,28.600000000000005
Georgia,,,20.1,20.4,20.4,16.3,15.5
Germany,12.386725663716817,13.120338983050848,10.787591240875914,9.410404624277456,9.898130841121494,10.181304347826089,8.318039215686275
Ghana,,,30.3,26.9,25.9,30.1,33.2
Greece,,,19.2375,17.684615384615384,18.49333333333333,17.291176470588233,14.70408163265306
Grenada,,,,,5.5,3.8,4.1
Guatemala,,,,,20.95,16.099999999999998,18.1
Guinea,,,,,36.7,59.0,13.9
Guyana,,,,,6.5,12.45,17.3
Honduras,,,,,8.95,9.2,15.15
Hong Kong SAR,21.8,20.2,20.3,15.4,16.85,15.9,16.666666666666668
Hungary,,17.619999999999997,15.8,15.3125,17.11764705882353,14.547058823529412,12.18
Iceland,5.7,4.2,6.2,6.875,4.775,3.5,3.84
India,85.03333333333333,72.59574468085107,55.11408450704225,51.62359550561798,49.18134328358209,49.61242603550296,48.062447257383965
Indonesia,29.7,29.466666666666665,43.57142857142857,22.97647058823529,16.82051282051282,16.03488372093023,22.335555555555555
Iraq,,,39.6,,49.7,60.85,38.1
Ireland,8.0,9.5,8.85,8.6,7.0125,7.3711111111111105,6.352
Israel,18.721052631578942,19.68947368421053,19.87307692307693,16.74642857142857,18.62,18.62439024390244,17.666666666666668
Italy,20.811111111111117,17.733333333333334,16.368,17.075862068965517,16.269767441860466,16.22978723404255,14.797222222222224
Ivory Coast,,,,21.9,26.5,22.5,16.6
Jamaica,,,,,,7.0,7.1
Japan,11.856792873051225,11.809381663113006,11.165909090909093,9.7560546875,8.980650684931506,8.986019736842104,9.28641975308642
Kazakhstan,,,23.6,30.6,30.25,27.3,19.4
Kenya,,,,14.7,25.0,12.825,10.32
Kosovo,31.7,30.4,20.557142857142857,16.6875,11.536363636363635,8.472727272727273,10.04375
Kuwait,46.8,56.0,38.3,34.0,29.7,57.5,39.9
Kyrgyzstan,,,33.2,43.5,102.86666666666667,62.87777777777777,28.064285714285717
Laos,,,23.1,22.4,21.5,23.25,27.8
Latvia,,,,,,13.5,8.7
Libya,,,,,,,30.4
Liechtenstein,,,,,7.2,8.3,7.2
Lithuania,17.049999999999997,15.72,12.919999999999998,10.22,11.24,10.28,8.385714285714286
Luxembourg,11.4,11.25,8.633333333333335,8.700000000000001,8.366666666666665,11.133333333333333,8.533333333333333
Madagascar,,,,20.7,21.5,23.7,20.6
Malaysia,,,14.97017543859649,13.317543859649124,15.18103448275862,13.878333333333334,17.938709677419357
Maldives,,,,,,12.466666666666669,16.875
Malta,,11.0,10.0,,9.95,8.65,12.55
Mauritius,,,,,,3.1,3.5
Mexico,22.37142857142857,18.95555555555556,18.02380952380953,17.599999999999998,17.68285714285714,17.734146341463415,16.905882352941177
Moldova,,,,,34.7,22.6,15.7
Mongolia,66.5,58.5,38.6,32.3,25.65,25.5,20.9
Montenegro,,,,20.0,16.3,21.54,24.14
Myanmar,,,31.0,29.4,26.4,24.3,28.2
