date,item,country,value,CO,NO2,O3,PM 10,PM 2.5,SO2
2017-01-01,Death Rate,Malaysia,2.61904762,0.561,0.0076,0.015,38.0,,0.0023
2017-01-01,Morbidity Rate,Malaysia,5.117647,0.561,0.0076,0.015,38.0,,0.0023
2017-02-01,Death Rate,Malaysia,1.9047619,0.53,0.0071,0.018,40.89,,0.0025
2017-02-01,Morbidity Rate,Malaysia,4.647059,0.53,0.0071,0.018,40.89,,0.0025
2017-03-01,Death Rate,Malaysia,3.80952381,0.589,0.0082,0.017,42.31,,0.0028
2017-03-01,Morbidity Rate,Malaysia,5.176471,0.589,0.0082,0.017,42.31,,0.0028
2017-04-01,Death Rate,Malaysia,4.23809524,0.662,0.0087,0.015,37.76,,0.0027
2017-04-01,Morbidity Rate,Malaysia,5.117647,0.662,0.0087,0.015,37.76,,0.0027
2017-07-01,Death Rate,Malaysia,4.14285714,0.716,0.0082,0.016,29.31,,0.0014
2017-07-01,Morbidity Rate,Malaysia,4.411765,0.716,0.0082,0.016,29.31,,0.0014
2017-08-01,Death Rate,Malaysia,4.19047619,0.661,0.0078,0.016,24.96,,0.001
2017-08-01,Morbidity Rate,Malaysia,5.058824,0.661,0.0078,0.016,24.96,,0.001
2017-09-01,Death Rate,Malaysia,2.95238095,0.682,0.0076,0.015,23.41,,0.0011
2017-09-01,Morbidity Rate,Malaysia,4.294118,0.682,0.0076,0.015,23.41,,0.0011
2017-10-01,Morbidity Rate,Malaysia,4.647059,0.68,0.0082,0.017,24.32,,0.0012
2017-10-01,Death Rate,Malaysia,4.28571429,0.68,0.0082,0.017,24.32,,0.0012
2017-11-01,Morbidity Rate,Malaysia,3.823529,0.699,0.008,0.015,17.91,,0.001
2017-11-01,Death Rate,Malaysia,3.33333333,0.699,0.008,0.015,17.91,,0.001
2017-12-01,Morbidity Rate,Malaysia,4.176471,0.679,0.0074,0.02,21.6,,0.001
2017-12-01,Death Rate,Malaysia,4.04761905,0.679,0.0074,0.02,21.6,,0.001
2018-01-01,Morbidity Rate,Malaysia,3.823529,0.671,0.0078,0.015,19.14,11.43,0.001
2018-01-01,Death Rate,Malaysia,2.0,0.671,0.0078,0.015,19.14,11.43,0.001
2018-02-01,Death Rate,Malaysia,2.19047619,0.677,0.0069,0.024,26.06,16.75,0.0011
2018-02-01,Morbidity Rate,Malaysia,4.647059,0.677,0.0069,0.024,26.06,16.75,0.0011
